comments,likes
"They're Sydney folk. We're different here. No acrimony	 just different substance. Let me find a vomit bag for these two souls.    Hope Vanity is worth your soul to the devil . Just jealous melbourne people Can’t stand both of them and their material is pathetic No one is worth 10 million a year just to yak on radio Kyle is just a sad old misogynist They should  pay  fifi  fev 	nick from  the fox10 million  dollars  each  they are awesome. They just talk constant filth. At least gold and other stations have something intelligent to say. That much money for… what do they actually do. But hey. Good for them. I’m just too stupid to do it. I’m good at what I do but obviously not that good lol. I just have a normal job. They don’t do normal… I’m struggling	 that I’m lucky enough to have m… See more What an absolute JOKE. 99% of their wage would be better spent elsewhere",2
"I am not sure anyone is worth $10 million a year Those salaries are a disgrace Why getting them from Sydney plenty of locals from melbourne Suprise suprise. Good old Vile and Tacky’O They are so inappropriate for breakfast radio It's not about worth	  It's about willingness to pay it. Can’t stand them I think mainly Melbourne people don’t have the ability to see the achievements in what they have done as self made people. This adds to the whole act. Which it is an act. Love it or hate it. It’s a performance	 they make people talk. Hats off to them a… See more",3
"Horror pair why them...thought they were worth anything Easy. Change  stations! Terrific news. They ain't worth that much Sydney listeners are obviously easily pleased!!! 104.3 for me Christian O’Connell They are boring Can’t stand the foul mouthed Gronk I dont like talk radio at all	 specially them two lol. Spotify for me 10 million… your bloody kidding. $10 million that is plan stupid So not worth it What's radio? Jared finally!! Can’t believe they are still on air Melbourne	 you have taste! Grab a shovel Kyle. Kyle is disgusting. Talks over people and uses derogatory statements. Can't stand them Best news I’ve had all day. How do they think anyone is worth that much. Melbourne has good taste in some things! Melbournians were loud and clear that we didn't want them.. hopefully now ppl get it and they are removed permanently",2
Switched to nova as soon as they canned Jase Lauren and Clint The bin army wins! I miss Jase and Lauren. Get rid of these two clowns asap! I’m team Christian O’Connell on gold . Would NEVER listen to these two .,2
"radio & tv tumors This is what I love about Melbourne Not worth 10mil A pair of overrated germs!!!! There incomes are obscene ridiculous Fox Fm any day of the week! Love Fifi Fev and Nick Nope already switched to nova Its the old Melbourne versus Sydney argument. They arnt worth it Thaaaaat’s a shame. Anyway Remove them please. Gold 104 need to change those bin stickers to K & Jackie Oh Oh…. Absolute rot & rubbish on our Melbourne airwaves Not worth the money Haters will be haters. They are real and funny people. I love listening to them and they are funny. I definitely switched too. I followed Jase and Lauren to Nova. A far better show	 in fact	 I don’t listen to KIISS anymore Hope they fail i do love I'm listen for the las 20years I love 2GB Intelligent people with a sense of humour and talk about real issues good or bad I start my day with Sammy J and always will. My radio dial skips past them. Who even listens to the radio anymore Pay Jase and Lauren more Go back to Sydney $10 million	 yet health care workers	 police	 teachers struggle to get remunerated correctly for the amount of work they do. Disgrace.",2
"Imagine what could be done with that money? They are just DJ's ffs It's been 3 weeks for official numbers. He overrated Well Sydney People are dumber than Melbourne People for sure. Who would have guessed Whatever idiot thought this was a good idea should be fired.  Appalling show. I gave up on them years ago How MUCH! Obscene. Bro they ain’t worth $5 bucks They are rubbish Cmon give them time lol It's only Kyle and Jackie O. Seriously who give a rats .... No one is worth that I think they are a disgrace Sydney dont listen to them either	 ratings are bullshite Who is worth $10mil a year seriously. ""I don't think they have ever been really well liked, it's the media spin that tries to make people like them. So many so called """"liked, popular"""" people who are made famous, don't seem to be genuine and kind, but a great percentage of them are brash and… See more""",2
"they are both creepy and hideous. i wouldnt listen to them if you paid me. get them off Told you Melbourne doesn’t them. How do they both have a job? Give Kyle the flick and see how Jackie O goes with a decent off-sider... 100 % feral... No surprise there What did they do to the executive to receive that pay packet? Certainly wasn’t their talent on air! Who are they ? How can they be paid so much to insult people first thing in the morning by being so vulgar on our Melbourne airways. Surely it not right to be driving kids to school or going to work and hearing disrespectful and disgusting information by these two. W… See more Cant stand him seriously WTAF Ten million dollars absolutely disgusting. Can’t stand the guy. Don’t know much about her!! That’s because Kyle & Jackie O are cringe 	 and even Melbourne people have more brains than to follow a pair of twats from Sydney Give it 6 months $10mill a year? Tf. Good news i prefer Gold fm in the morning on my way to work. Station could have saved themselves $10mil. Awesome talent…. I can’t stand them. NOT WORTH $1mil!! For the entire production team!! It’s crappppo Any one with a name jaki o has issues They’ve never been worth anything like $10M!! the Vile and Wackie Ho Show. The two of them are just vulgar and classless. It surprises me that the way Kyle speaks to young women about personal issues and situations is allowed on air.  Luckily it's so easy to protest by changing the channel! Unfortunately some people are fasci… See more They weren't cool anymore when I was 15 and that was more than two decades ago. Flogs! That's why. That is a disgusting amount of money to be paid for doing sweet F all.  They should donate that money to the public housing development scheme or medical science.   That would be a better use of that kind of money instead they are flushing it away by p… See more Just play music!!! He's repulsive National embarrassments Australia 1 country but divided many states	 acting like different countries	 nothing works as 1 nations",4
Not worth it. Laurel and Hardy aren’t funny Gold 104 smokes them in the morning Flogs aren’t worth 10 cents Kylie and Jackie called the hospital a nurse gave information then Get this garbage off our radio,3
"Love them not boring like all the rest Both completely arrogant	 overrated and overpaid know it alls A pair    of    Dribblers   !!!!! I've now gone to Hughesy Ed & Erin for morning radio. I feel sorry for Melbourne They get young adults to undress themselves in the studio to see if the contests will sleep with each other and then pimp them our with a room so they can come back and talk about how good they were	 and that's morning radio",4
"I don't give a rats about the ratings	 in what world are two crap DJ's worth that sort of money? Go Jase and  and Lauren and Clint Still better than Will & Woody tho so all good Melbourne did tell you years ago we don't like these 2 Wouldn’t listen to them	 even if they were the only radio station available Would rather stream from another country Their content is awful...basically they promote degrading young woman and men. So who did the market research?? On the ya bikes u pair of nobody's. Simply no class	 crass doesn’t cut it. No ones worth ten mill a year don’t care who they are Nothing but vermin Kyle & Jackie nought I’m surprised that they have been on air this long given Kyle’s scandals over the years Didn’t even know they were on You'd have to pay me to listen to Kyle. Even then I couldn't",2
As soon as I hear either of their voices I change the station,4
yeah could have told you that already They're total Garbage ! Just Sydney garbage As predicted. Only desperates would listen to the drivel they spew out,2
No one is worth that much each year Bring back Rick Melbourne l say What a waste of money for these two.,3
"A good headline for a change Dylan Harris  would have to pay you 10 mil just to listen to them I have been listening to Kiss but now move on to Nova for breakfast radio Who is really worth that? I'd rather listen to 3aw can't stand jacki o and kyle get rid of them Can't stand them	 we have fifi	 fev and Nick don't need these two. They spit more crap than our politicians who don’t get paid that. Jase and lauren so much better Overpaid and over rated.",4
"Time to show them the door Why are they paid so much ?? Good. We switched stations When the headline doesn't fit the article.. 'However	 the results don't paint an entire picture	 given that the Kyle And Jackie O Show launched in Melbourne on April 29	 meaning its listenership is considered for three weeks out of the 11-week survey period.' ""Melbourne is not as toxic, so will not put up with their  """"shock jock"""" nonsense, MMM is playful, those 2 on Kiss, just toxic, shame, I used to like the 101."" I would listen to fox's morning show i just can't handle Fev. Who was stupid enough to pay them 10 million?? They’re not worth much at all to be honest let alone 10 million. But they’d go hand in glove with the vic government	 they’re a waste of money too Absolutely ridiculous paying salaries of $10 million Nah go home to Sydney Sucked in All that money and Kyle still hasn’t bought a mirror. Melbournians must have higher IQ. Who wants to listen to K&J rubbish???",3
"go back to Sydney Thanks to these two	 I was finally able to get out of my wheelchair to turn off the radio",2
"A bloated Karl and a plastic Jackie. What more could you want?? I stopped listening to to kiss	 not Melbourne content coming from Sydney. I loved Jase and Lauren. My protest!! If you love Jase	 Lauren and Clint	  pop over to Nova 100. Love them 6-9 (happy they're back) Since I've jumped on the nova band wagon from kiis	  I get to listen to new faves of mine Ricki-Lee (love ricki)	 Tim and Joel	 also ben	 liam and belle. Couldn't be happier 10 mil a yeat? Give me the Job	 Ive got way more charisma and experience! Plus people like me.. Not with 10 cents They are not worth $10million. They ate not worth $1 million. they never were. That’s ridiculous. How do 2 no talents end up there? Time to go	 as they don’t entertain anyone. changed to Jase & Lauren. Love listening to them from Melbourne talk about Melbourne. Kyle and Jackio O are terrible i cannot even look at a picture of them	dont expect me to listen to them Discusting they get paid that much to do f all. Why bother with narcissistic Media  types Jase and Lauren is so much better than Kyle and jacko Over paid and totally overrated ! They are rubbish Totally agree I’m from Sydney. Can’t and won’t listen to them. Self inflated egos. Send them back to Syd!! I didn’t even realise people still listened to the radio Kyle does my head in worst host in global radio Revolting! If their boss wants to pay them $10m a year	 good on them. Won’t be listening but I’m sure that they couldn’t care less Why are old people yelling on the bluetooth from beforetime? I didn’t think radio as an medium was worth $10m a year anymore I’ve never liked them certainly not worth the $$$$$$ Average very average These two like so many on commercial radio talk a lot of garbage. I’m from Perth but give me Jase and Lauren any day What a vile show.... What a waste of money I don’t know how they get away with with the topic s they discuss on morning radio. I know they are shock jocks but this is rubbish and disgusting. The worst part is they get paid for it. Really no talent at all. Can't stand Kyle - low grade Jerry Springer vibes I had this on in the car the other day and they were taking calls from people calling and  supporting poor and irresponsible driving behaviour by broadcasting how people lied to police and 'got away with it' ...such irresponsible broadcasting...and he … See more",2
Is it possible she’s related to Sid the sloth? Seriously question Terrible people Always Jase and Lauren yay!! Sorry both are well past their use by date!,3
"Go back to sydney Stop listening and they will go. Nova breakfast radio craps all over these two. Maybe they should just stay in Sydney? When I get a chance to listen to breakfast radio it’s Triple M Melbourne 105.1 Marty Sheargold all the way! Hilarious. I’m always amazed how Kyle is allowed to speak to his staff. The name calling	 the derogatory comments etc I’m sure it isn’t acceptable within normal businesses	 I wonder how he gets away with it? Don’t hold your breath!!! Victorians aren’t loving Kyle and Jackie O.. 10 million for what insults.? That’s because they’re both horrible people who get off on causing misery to others and gossiping",2
"I have listened to their show a few times whilst stuck in the car…It’s like listening to your grandparents trying to sound hip. Kyle is funny though but Jackie…..oh boy. They’re not! Kyle was good now he looks like he is about to have a heart attack Well over paid & not worth that at all	 really I suspected they may not land well with a Melbourne audience.",3
"They come tumbling down. How the regulators let them on radio	 especially breakfast radio and talk the rubbish they do is beyond me.",2
"Who who who someone explain Any publicity is good publicity I'll do their job for only 2mil a year! The pair of them aren't worth 10 bucks	 let alone 10mill Not worth it Remove 1 zero and then let’s start talking Nooo I love them Rather listen to a dog bark",2
Go away kyle. Thay don't communicate to an audience There like footballers way overrated and overpaid 3 weeks that’s 2 weeks and 6 days to long I like em Wow - not a single positive comment for Kyle and Jackie o but a lot of positive to move to nova …. Bad move kiis !,2
"Remove both all together  PLEASE. On ya bike! What the hell do they even do to be paid 10 million dollars a year? They never have been So very 'indicative' of those 'entitled ones'. It is endemic throughout the entire entertainment industry from Hollywood down to the local radio man/woman. Switched to nova. I wonder how long it will take before their bosses realise they made a very expensive mistake ! And that's surprising? We never wanted them when it was announced and we preferred the guys that were already in place. Shocking way they were removed. Hope they do the same to them. Wow so shocked that their ratings have tanked They belong in Sydney	  not Melbourne. We do not need their style of radio	  we love our local presenters.  Melbourne listeners  know what they want to listen to	  they will definitely turn to other stations. No radio presenters are worth what they are getting",2
"When covid hit we lost our local hosts to make way for the bigger guys to take over	 I haven’t listen to the radio since then.",2
"Wonderful news. they're not This reminds me of something Frenzal rhomb did like 20 years ago I was so disappointed when i heard Jase Lauren and Clint were taken over by the other 2. Definitely not appropriate for that time of the day with little ears in the car. I was very happy to learn that Jase and Lauren moved to Nova	 i will forever be a… See more I’m glad other Aussies also can’t stand them. Kyle is revolting. Everything I hope never to be. Fantastic news !! Put some clothes on Jackie Lol know one is worth that amount Ove money lol I miss Merrick & Rosso 96.9FM $10 million Totally over-rated both of them	 he is an-educated baffun and she is nothing special	 just tags along with his stupidity. I'm amazed radio stations spend that much money on these people.  I wouldn't waste my time listening to their dribble... music is … See more When I first heard them I was a little taken aback. Now I love them and their entire team. The brutal honest is so refreshing",4
They are horrible! They have no idea about radio and what people want to hear. They are vulgar and a waste of air time. Go home to Sydney and stay there... off the radio! dont listen to there crap Jase and Lauren any day …. I need to be paid $10m to listen to them and I have no intention in listening to them,2
Lived in Sydney for a few years and wouldn’t even listen to them then.,2
"Kills me having to listen to all these morons. I don't have too many options having an old car but rather listen to nothing They’d be lucky to get near half of that Toxic couple Waste of money !!!!!!! 100$ at most take it or leave it I'm pretty stumped people listen to the radio still. I mean it's like free to air TV	 no one watches that anymore. And no im not young.",2
Bring back Jace and Lauren please Cause there not The worst in the business. He's disgraceful on Australian idol too. Doesn't have a clue. It's sad we've reached this stage. We knew this would happen,3
"Stay in Sydney We could have already told you that These two are not my cup of tea I prefer  Will and Woody they are hilarious Geez	 people have short memories of these two. Don't like them	 don't listen Kyle certainly isn’t Whoever signed that up will be looking for a job soon Well they ain't Never heard of them Who wants to listen to that crap first thing in the morning!? You are the weakest link	 goodbye I’m all for jokes and sexual innuendos but the stuff these guys talk about on air is putrid. They used to be good but unfortunately not anymore as their heads are severely inflated actually Kyle’s is physically massive to begin with Der fred. Melbournians should have been listened to before this ludicrous amount of $ contract was ever entered into. Still maintain	 if you don't live in or haven't ever spent much time in the State you're broadcasting to	 you will never get a follow… See more Gotta say I like them.. Make me smile They are dreaming Can’t stand Kyle and Jackie O. Cause Kyle sucks .. simple as that and OMG that’s a ridiculous salary!! Crude and unentertaining-recipe for success ? Kyle your Fat Refuse to listen to these two we want our Melbourne people on the show.",2
Come back to reality work in aged care  see how the normal people live,2
No on on earth is worth 10000000 a year I accidentally turned them.on once turned straight off.  Not my cup.of tea  see ya NO ONE is worth that type of income !!!! That’s because they’re not!!!! Overrated and overpaid They forgot that no one in Melbourne cares what happens in Sydney,2
"Sorry they are late night jocks only It makes me angry that anyone in Australia should listen to this buffoon. The amazing thing is we don’t have to. Change to TripleJ or ABC News Radio. Your mind and spirit will thank you! Gold fm better in the morning Are you kidding me!?.. $10 million Kyle is an absolute douche Who are they. They are not funny just arrogant and so Sydney like .. go home we don’t want you I live in Sydney and I wouldn’t listen if that was all the radio had	 he is an absolute pig",2
"Beyond me why anyone should get $10m for being on radio. people out their saving lives are worth way more than these greedy people. Absolutely OVER-RATED! There’s a really simple reason why….. TV shows and radio are nothing like what they “used” to be With all the streaming platforms and easy accessibility to online platforms	 radio and normal tv is slowly dieing out….… See more Melbournians have more class than what these bogans have to offer!",4
They're terrible They’re not THE PEOPLE HAVE SPOKEN.  SAY NO MORE! Stop broadcasting in our city. Melbourne doesn't want either of you. Mackenzie Jase and Lauren all the way Melburnians are too smart and too classy for these two! They don’t understand the cost of living to everyone else they won’t last there and live in their own high-class world away from us. Not worth anywhere near they are paid and more people realise that and not just the sheeple who follow them everywhere … See more They’re not! Um yeah. Sorry -but will not listen to your disgusting disrespectful content. Personally I can't stand kyle kick him back to Sydney or a nearest dumbster,2
"Freemason perks No surprise to me. Agree that Hayley Woods sounds about right Good! Stay in Sydney A bit hard when all they talk about is  crap. What a surprise… not! 10 million? Argh Sydney FAIL !!!! Yippy It dropped over 11 weeks even though Kyle and Jackie were only were on 3 of those weeks because people boycotted KIIS for the dirty pulled on Jase	 Lauren and Clint. Will avoid KIIS wherever possible now as why support a station that treats it's employees so badly.. Love fox fm! Not surprising. They are terrible. Melbourne already has awesome morning radio shows that people love & are loyal too. I love Fox FM. I'd rather not have any radio than have to listen to them.",2
"We hate them	 and it shows. Surprise surprise both got flaps like leather chaps lol you can't stay on top forever Their not!!! Melbourne made no such promises. It was THEY who needed convincing that Melbourne had zero interest in their BS. Not for me I was on the KISSFM float a year or two before the lockdown. We were informed that they would be on our float	 but they were absent for all of our rehearsals and even on the night of the event. In the holding area	 our team leader had to plead with the… See more",3
This is great news! I've refused to listen since their day 2 in Melbourne because I don't need to hear about that Kyle likes in bed at 8am in the morning with kids in the car! Imagine normalising Kyle's misogynistic views. No thank you. No chance! Sorry jack and Kyle. Stay in Sydney. Melb has its own culture. You're not part of it.,2
who are they..?? Definately not worth it!!,3
"No chance I’d listen to these clowns What a  joke you two are. good news Because Kyle & Jacky O have only been on air in Melbourne for only a small percentage of the  Melbourne ratings period.  The next ratings  will be the true induction. Washed up married couple. Never have been. Who r they? I turn them off as soon as I hear them	 both are arrogant	 self absorbed D listers who think themselves A’s! Only someone living in Sydney could be shocked by these ratings as the article states!! How many Sydney radio shows networked into Melbourne have ever been successful? How much????????????????? Who is?? The way this man speaks about females is an absolute disgrace	 and I have no idea why it’s acceptable for him to blast his revolting opinions and comments across the radio. It’s an embarrassment	 he talks about females as if we’re purely here for mens … See more I'll have jase and Lauren anyday Haha go Jas and Lauren love you guys  changed my Chanel immediately	 and don't listen to will or woody now. I love it They'd need to pay me to listen to them. How on Earth are those obscene salaries justified? Sad world we live in. who are these people? never heard of them ... Toxic nasty people ! Not worth $2 . Who cares $10 million a year!? wtf That's vile and tacky. Hahah no they’re not! That’s because their crap and full of themselves",3
"Noooooo they are not No there not worth 10m Who cares Pair of sht cnts $10M??? I thought a radio host would get about 100K-200K and maybe up to a million if they are famous. Why should they get paid that much for talking? Another reminder of how unfair this Earthly kingdom is. mindless rants 	 raised superficial topical content so predictable stereotyped mindsets unfortunately it’s really a testimony of how a lot of public perceptions and views follow certain patterns …. ”asleep mainstream n sheepful” … See more",2
My cat can't even tolerate their dribble. Jackie compromising the secret sound will not help with the rating’s .. feel like it could be rigged now.,2
NO-ONE is WORTH $10 million as a year salary - NO-ONE! I am always amazed at how these salaries are decided. Its a joke.,2
They are nothing but hype and gutter entertainment ! Who ? They aren't worth $10 let alone 10 million. Good,6
"NO ONE is worth $10 million a year	 especially not a radio announcer.",3
"Highly recommend the Melbourne based Light FM. 89.9. Wonderful programs	 kid friendly… it’s so important that we have a positive radio station that values the importance of fun but friendly and appropriate for young children and adults. Music is fantastic! Hoped for this outcome and expected it  switched to nova with Jase Lauren and Clint",2
Vile and tacky. Overrated  overpaid I like them  it’s controversial but I don’t think they should be played during school pickup/dropoff lol,2
Cuz they ain’t Slow news day Waste of time,3
"I really like listening to them but 10 million a year is a bit too much What a surprise! They are gross  and all part of the fake and ridiculous vitriol	 that is now the mainstream mindset! Yeah nah They have always been crap The reality is that their show is designed around Sydney culture which is very different to Melbourne - not saying one is “right” and the other “wrong” 	 just very different tastes and values. Why is that such a shock I could have told them that for free Surprise	 surprise. Every Time i see Kyle on the TV it makes me Sick",2
"get  rid  of  kyle   xxxxxxxxxxxxxxxxxxxx With so many people doing it so tough	 it's a bitter pill to swallow that for what they do	 they're paid so much!!  they literally contribute nothing to society	 I change the station specifically to avoid them & when I have been in an unfortunate sit… See more No surprise to Melbourne listening public. See ya Their extreme views and political leanings are not in line with the public",2
Not worth $10 I'd rather listen to static.,2
Disgusting that people with such little talent get paid so much,2
"They are over rated I don’t know how they keep getting renewed they have sucked for years I would rather listen to white noise than their show Well	 someone has to listen to them for them to ahve that kind of money!!!! Never rated either well personally	 they are both paid fmto bully people and talk down to anyone they don't agree with!! Sydney can keep them Oh no	 nope. Oh there so outdated Very cringe Guess what… because they’re not. No one is. I quite like them	 better than we getting Canberra Yea I don’t get them nor listen to them.. he talks crap and is shovanistic and prays on young innocent ppl to make the name for himself. They have big celebs on yes but who really cares. I stopped listening to kiis because they came on air. I’ve tried to listen more than a few times but just can’t 	 it’s actually sick these people are weird 	 is it how they really are ? Or just trying to be controversial by being crude ? This morning they were talking about people marrying their cousin 	 … See more Fifi	 Fev & Nick all the way can’t beat 101.9 The Fox Dont know how they conned Sydney! absolute bottom feeders They aren't worth 10 million cents	 let alone dollars.  Idk why anyone would listen to rubbish like this	 or the show they took over from	 when there are so many great choices in radio in Melbourne from the community stations like PBS	 RRR	 Plenty Vall… See more Good i love Jas and Lauren I think the Radio station should give them $500 and a plane ticket back to Sydney  and stay there permanently. Well 	their show is a breakfast show and most people have kids with them for school drops etc …the K&J show is not exactly kid /family friendly while Jase and Lauren is ..so not surprised Kyle is vile. Shallow sexualisation of every conversation. Just yuck. When they are on I switch over to a different station",2
Absolutely vile the both of them. Imagine thinking this was going to work!,2
"It makes me wonder about Sydneysiders	 if these two have been so successful for the last 10 or so years.. They are both Full of They got done for disablism	 racism	 sexism	 homophobia and even had a teenager open up about child sexual assault. They’re garbage gutter humour. Nova is better. Excellent. Pathetic the pair of them and sacking the others for the crap they both spew was a huggge mistake. Serve the company right. Did anyone actually read the article? Jack  we aren’t alone I switched They are not worth $1 a year. ...10 million a year wtf!!! I bet the executives are thinking how to retract that sum. Rating dont lie and  they've clearly have bet on the wrong people.  No comment. These 2 are not interesting at all. Should have stayed in Sydney. Overpaid crap Could told them that  Ruby Sykes Trying to get people in Melbourne to listen to 2 clowns from Sydney was never going to work ""Definitely not worth nearly that much.  """"Entitled nobodies."""""" Who? Stay out of melb fucknuckle s Never been a fan of Kyle or Jackie. I’d turn radio off if they were all I had to listen too.",2
"Certainly not my cup of tea. Nobody is worth that amount of money as a salary for any type of job	 especially a radio announcer. Fifi Fev and Nick No one in the world is worth that amount of money!   Crude and talk about topics for the bogan!",2
"I can’t stand Kyle and Jackie O Melburnians like listening to other Melburnians rather than a couple of tossers from Sydney. The radio station F'ed up big time thinking we would Overrated. BBM 98.7 FM the indigenous station in FNQ is by far the best. Money wasted for who.only please      give to Nurse's and Drs  who save lives not to those who joke and rant about nothing They’re not even worth the paper their IDs are printed on Christian O'Connell's show is so much better	  send them back	 they don't suit Melbourne and its obvious from the comments we can't stand them.",4
"Bc they're not. They’re just the worst of “shock jock” radio.. he’s just extraordinarily unpleasant! Just base (toilet) humour and gets off on demeaning people (even his co-host) and I don’t know why she puts up with his  type of “humour”	 (pardon me while cough on th… See more Yes they get paid far too much money.  Our doctors nurses and Ambulance officers don't get paid as well as these too it's a joke it was tried in the 1980's with AW & UE.  Melbourne is tribal with Aussie Rules and communist greens.Good luck in an impoverished bog hole Get rid if them absolutely disgusting bring back Lauren Phillips No way 10M. Maybe 100K max. Melbourne is a much tougher room that Sydney and Queensland. Can't win em all! Think Jason and Lauren will win this one. Horrible people both of them. The jokes on us...! Wouldn	t pay two bob to hear either of them I stopped listening to the station when they got rid of Jase	 Lauren and Clint.  I've moved over to NOVA now.  Kyle and Jackie O should never have been considered for Melbourne radio.  Big mistake! Not even $1M because they absolutely are not! they are toxic radio alot of the time and that money could be far better spent on things we need in the world 3AW all the way	 intelligence prevails Flogs Kyle is a mysognist  yuk shouldn’t be worth that much . all they talk about is rubbish and useless to society Bullies and a top notch wanka They are not Why do they need to get paid so much ? People talk about politicians should cut their salary but honestly why do these 2 need to earn so much	 could feed a lot of people with that money. I find  them irritating and won’t listen and change the channel if I see them on tv. Much prefer our local radio C91.3FM  with Ally Redondo in the morning",2
I think they’re being paid 10 million too much !! Who? They were only on air for 3 of the 10 weeks counted in the ratings- can’t wait for the next round to show the legends these two are Absolute rubbish - done and overdone!,2
"Geez	 he looks like he's on the verge of a heart attack",2
"I’m glad Melburnians didn’t think they were as good as they thought they were. Why can’t we just have Melbourne hosts talking to locals. That’s how we like it Who? All front	 no substance. Just not Melbourne",2
"Annoying	 I never want to hear a talk show. I prefer to listen to music without a stupid conversation. From lisners	 one sided people. Their show not suitable for breakfast/morning time	 okay for evening time slot Who is Kylo O and Jacky E???? You cannot be the champion all the time you got a higher time in your life	 and very low. Keep your chin up because nothing is forever. I can't stand them	their egos are bigger than their heads.i prefer 91.5.or 101.9.so much more fun. They’re not! They are horrible	 arrogant over paid narcissists. Why the hell would anyone listen to them? One looks like a recovering ice addict and the other looks like they inject KFC gravy into their veins.  em off. Biggest overrated pair Not worth the money 2 duds Never been a fan of them but don’t like people getting slammed either. No one knows the effect some of these comments have on these 2 people - and they are just people! Not even worth 1 million a year. What a waste of money. Won't be listening when these clowns are on Kyle is a no talent  bum Gold 104.3 all the way",4
"Huge surprise. We don’t like listening to right wing shock jock misogynists…. Vile and tacky. As soon as Kyle said he hated the AFL 	 it was all over	 stick to your crap NRL and leave our airwaves!! Over rated rubbish Total crap in Sydney hardly likely in cactoria I was sad that Jase and Lauren and Clint are no longer in the kiisI was sad then my daughter told me to listen to to nova was very happy that Jase Lauren and Clint . I am from Sydney but I never liked Kyle and Jackie o  send them back to Sydney . wow how overpaid can you get!!!!",2
Someone who just dribbles crap on a radio station for a few hours most definitely ain’t worth that…. If that’s the case I should be on at least 30 mil a year doing a real job…entitled much?,2
"Jab pushes you both will pay for your actions just like everyone else.. People need to stop listening to these losers. Not a good commercial decision. Revolting	 bai! Kylie and Jacko? no thanks!!! I only switch to Kiis to listen to Will & Woody (who I find hilarious). At all other times	 I’m a Fox listener. Melburnians are fairly loyal to our own home grown stars. We never needed these two to beam in from Sydney. Ridiculous move. Who ? Alan Jones only lasted 6 months in Melbourne. Loud same as Jackie O and Kyle. Ego's to big. Go home and don't come back. Tom Elliot is at least sensible.",2
"WHO EFEN CARES	 some of us have lives And Kyle needs to clean his cars out of the disgusting rubbish and cigarette butts	 my brother refused to work on his cars. And even Tamara’s sister had no contact with her because of him. Not that Tanya’s kids were nice either entitled brats. It says good things about Melbourne Dan Sanga - Christian O’Connell for the win Would not listen to their nonsense Joke but sadly it ain’t	 he’s just a self serving ignorant grossly overpaid mouthpiece	 she’s the same but better looking.",2
"Looking like a used pineapple kyrle Can't stand them. Shock jocks are so out dated Kyle and Jackie have got even cruder 	 no wonder they are losing listeners	 Lauren and Jase on Nova are far better and now my preferred listening",2
"These two give a whole new meaning to bogans!!! The actual rot that they spew on air is so stupid. These two are typical cashed up bogans. Never listen to mainstream radio. To much verbal diarrhoea much prefer local community radio. Jackie and Kyle had the talent of a cow pat. Stay in Sydney	 Melbourne don’t take rejects They are just distasteful these days. Too much rubbish. Humour is good but they go too far. Jase and Lauren every day of the week. Join the bin army ! Nothing they’ve ever said is worth listening to so I don’t see how they can even be worth more than the dirty dollar I found on the floor Pay them what for what? Can't believe they generate 100 million dollars. Usually they get paid 10% of revenue. not worth $10. it's pathetic what they get I agree	 spent several hours this fortnight listening to them and very disappointed with the subject matter	 acceptance of drug use and sexual issues as a major subject They used to be ok now they are horrible I hate the show Never found either funny I love listening to Kyle and Jackie O talk about bl*w jobs!",2
"Please send them back to Sydney.. I cant stand them at all.. Triple M 	 Classic Rock Digital	 thank you",4
Kyle is a Kane Cornes wannabe that,2
More educated audience in Melbourne Yes Christian O’Connell show is so much better!!!,2
The fact anybody gets paid this much with 0 physical labour involved is a joke,2
"I find this kind of thing disgusting when we have so many people struggling to stay afloat.  Then	 we have these self-absorbed	 self-promoting delusional individuals in a wide range of industries and Government positions who really believe they are wor… See more Who even listens to radio? Just stream your favourite music....",3
I switched radio stations because of these two.  Such c**p they go on with. Super overrated now. I used to listen to them when they first started out together and they were ACE. Now it’s just rubbish. I mean Kyle. See he is that important that I can’t even get the name right but the bottom line is that he is an arrogant twit. Could have told you that,4
Edward Singh 10 million a year 10 million a year and you think they care about ratings or what anyone thinks of them. They could both retire comfortably tomorrow. Just a money grab now … See more Corey Smark not working out for them!! I wouldn't even give them half a million,2
"Not classy enough for Melbourne. (Not saying Sydney isn't classy- just those 2	 lol). The show isn’t the same since they went to Melbourne. Lost their personal touch. Such a shame. Melbourne will be the death of them in my opinion Why listen to the radio. Play your own music in the car. Nothing against them either way but I can't listen to it because there are so many adds when they are on. Gotta pay the 10 million some how. Jase and Lauren all the way! I’d rather just put on my Martin/Malloy cds",3
"should be kyle and jackie go It’s obscene how much money they get for what they do! Shameful Their number 1 in Sydney FM with about 15% market share so 85% of people hate them. See what happens with a 10 week survey but there will be a lot of money given away on air 	so will help all the Melbourne stations increase there give aways Who would of thought Melbournenite had more brains then Sydneyites HOW MUCH??? No one is worth that money apart from someone who saves life’s. What a joke paying that kind of money; top CEO’s of companies that have enormous staff earn that kind of money. These two are vulgar and somehow they’ve convinced other idiots to pay them that kind of money Jase and Lauren all the way This is why I listen to triple J	  but even that has gone a bit off in past 2 or 3 years. Ipod play list or spotify pod casts my go too now. They are the worst We live in Victoria we want to hear about Victoria not nsw just like the morning shows get sick and tired of nsw stuff not Victorian Sandilands hasn't been worth the money for years..out of the two	I prefer Jackie.. but do I believe their worth 10 million a year	no I don't. You could find others just as good for half of that...overall the pair are overpaid and overrated.. the bubble… See more Delusions of grandeur",2
"Great bogans	 their conversations are for low social degenerates that can’t think for themselves and depend on these two to learn how to spell DOG!! Not interested at all. Go back to NSW.",2
